step,epoch,avg_train_loss,avg_val_loss,val_dice_score
649,1,0.28279306005990745,0.28256457550999,0.7184782028198242
1298,2,0.2787409144897123,0.27636869942002434,0.7391006758107859
1947,3,0.27848198922646616,0.2698002121246913,0.7380248759599293
2596,4,0.26817827126461846,0.26397249288856983,0.7448513950495159
3245,5,0.26530933320430466,0.2669938823536915,0.7543918591211823
3894,6,0.2601442254379461,0.25881422278197375,0.760328900288133
4543,7,0.2574877313270775,0.2588226692203213,0.7619025983354625
5192,8,0.2556725193291489,0.25943491607904434,0.7639504066284966
5841,9,0.2519545694023876,0.2565319858053151,0.7628685306100285
6490,10,0.24937991772667836,0.26466138726648164,0.7641116792664808
7139,11,0.2605921105813172,0.2653187521021156,0.7588130884310779
7788,12,0.2598409455022753,0.2646135488415466,0.7429469946552726
8437,13,0.25495964846644087,0.25882405393263874,0.7654039982487174
9086,14,0.2519523932129282,0.25447857960620346,0.7734399950679611
9735,15,0.24790151169285385,0.26260197206455116,0.7706446222522679
