step,epoch,avg_train_loss,avg_val_loss,val_dice_score
1081,1,0.2743460267892488,0.2572131642029674,0.7597350383645113
2162,2,0.25359898296966255,0.24882182597063712,0.77660389592469
3243,3,0.2502875632428108,0.2571195734229907,0.7715033901945609
4324,4,0.2466712584520908,0.25094726412569374,0.7690483796438982
5405,5,0.24850508340468128,0.25494968930530126,0.7762257598570265
6486,6,0.24852335742510215,0.2564950227606139,0.7744000470060609
7567,7,0.24472143577547895,0.24611740825197245,0.7814016405181212
8648,8,0.24285765968187334,0.24962349163803235,0.7791434925558284
9729,9,0.24127098787007345,0.24523053695714422,0.778780730547884
10810,10,0.2405985428242635,0.24105777496283276,0.7823683916209553
11891,11,0.24258897386691175,0.2507945853182923,0.7801322272695633
12972,12,0.2414848056934588,0.24574632358445994,0.780628388936299
14053,13,0.24031111877842373,0.25590455847164606,0.7585184117245779
15134,14,0.2479130304267735,0.24747910603290088,0.7803907617598378
16215,15,0.2461783638935636,0.24956791962821054,0.7773737069793735
