step,epoch,avg_train_loss,avg_val_loss,val_dice_score
325,1,0.20391183596390944,0.21264255353633096,0.815625473856926
650,2,0.2100393237058933,0.2127146688016022,0.815625473856926
975,3,0.21262748759526473,0.21270890621577992,0.815625473856926
1300,4,0.21261238735455734,0.2127100270898903,0.815625473856926
1625,5,0.21263021881763752,0.21269698090413036,0.815625473856926
1950,6,0.2126262971529594,0.21270618324770646,0.815625473856926
2275,7,0.21259734997382532,0.21270375961766524,0.815625473856926
2600,8,0.21260595945211558,0.21271049691473737,0.815625473856926
2925,9,0.21268443162624653,0.21270373858073177,0.815625473856926
3250,10,0.21259875650589283,0.21270194583955934,0.815625473856926
3575,11,0.21259096549107478,0.21270276869044585,0.815625473856926
3900,12,0.2126684908224986,0.21271433571682258,0.815625473856926
4225,13,0.21262374034294715,0.21270903747747927,0.815625473856926
4550,14,0.2126811559842183,0.21270513819421039,0.815625473856926
4875,15,0.21259530232502863,0.21270771412288442,0.815625473856926
