step,epoch,avg_train_loss,avg_val_loss,val_dice_score
931,1,0.2819503591536963,0.28260262767274175,0.7199008482784482
1862,2,0.28286368578320287,0.27965464828601433,0.7199008584621563
2793,3,0.2814613987244546,0.27484423648472406,0.7376590440021688
3724,4,0.2821110226574057,0.28247248781985373,0.7199008482784482
4655,5,0.27305115596116164,0.2634862785662838,0.7528118832626535
5586,6,0.2689918994455409,0.2700926213707756,0.7520285689052025
6517,7,0.2670817692092871,0.2671386100838532,0.7573635958546969
7448,8,0.26607315365533185,0.26054594811782167,0.7540433053395257
8379,9,0.25670743201460156,0.25599879063853065,0.7685235723778231
9310,10,0.2533514728223471,0.2573980728735277,0.7662279530985272
10241,11,0.2521762760830233,0.25431596626288927,0.7710627548059626
11172,12,0.252633792853381,0.25225168676232573,0.7724621796128738
12103,13,0.25115147378659786,0.25525351325471196,0.7712340432794849
13034,14,0.2502461486004861,0.250541664323016,0.772952285543758
13965,15,0.2496759299144837,0.24988022109671454,0.7739094834231851
