step,epoch,avg_train_loss,avg_val_loss,val_dice_score
649,1,0.2823076586142894,0.2833816249142675,0.718548100660829
1298,2,0.2695424203145302,0.2593109365552664,0.7546232500497032
1947,3,0.26153377554908924,0.253817998639801,0.77251667967614
2596,4,0.2568966670791247,0.2568001094109872,0.765040797784048
3245,5,0.26149152265215875,0.2613471514161895,0.761082315707908
3894,6,0.25520562023521387,0.2550215521717773,0.7720154475639848
4543,7,0.2517269567596527,0.251587710398085,0.7717575128464138
5192,8,0.2481449876663681,0.2548316012629691,0.7676766536691609
5841,9,0.25186766238627706,0.2531302651280866,0.7731663369957138
6490,10,0.24885993380851482,0.26022447667577686,0.7693110112758244
7139,11,0.24793370772951007,0.2536138528410126,0.7730889486915925
7788,12,0.2444619645919932,0.28409177119679313,0.7768591020037147
8437,13,0.24670692750228387,0.25763156013015437,0.7753159390652881
9086,14,0.24399247923966366,0.2634386455311495,0.7775564417243004
9735,15,0.2419824580473966,0.28637471181504864,0.7487315535545349
