step,epoch,avg_train_loss,avg_val_loss,val_dice_score
695,1,0.2871441029816223,0.2856920969812837,0.7094790123096885
1390,2,0.286902949063898,0.2861380501560969,0.7094790123096885
2085,3,0.2861475695380204,0.2861859571852096,0.7094790123096885
2780,4,0.287023859401401,0.2861819387706992,0.7094790123096885
3475,5,0.2868413598417378,0.2861849351288521,0.7094790123096885
4170,6,0.28696630301235393,0.28618814357339517,0.7094790123096885
4865,7,0.28699378311205254,0.2861859715760571,0.7094790123096885
5560,8,0.28699010151753324,0.28619006378193423,0.7094790123096885
6255,9,0.2869413670876043,0.28619295909796677,0.7094790123096885
6950,10,0.2870121544642414,0.2861858837000311,0.7094790123096885
7645,11,0.2869716985620183,0.28618516834223107,0.7094790123096885
8340,12,0.28695001439224904,0.2861922324112017,0.7094790123096885
9035,13,0.2869418181961389,0.2861817061696967,0.7094790123096885
9730,14,0.2865835872485483,0.2861866632552996,0.7094790123096885
10425,15,0.28696431496160496,0.2861798722041796,0.7094790123096885
